15: Dropped: 118, Cleared: 36
25: Dropped: 362, Cleared: 138
22: Dropped: 467, Cleared: 184
16: Dropped: 535, Cleared: 216
23: Dropped: 933, Cleared: 387
10: Dropped: 1506, Cleared: 630
12: Dropped: 1656, Cleared: 698
24: Dropped: 2582, Cleared: 1107
17: Dropped: 2678, Cleared: 1147
29: Dropped: 3144, Cleared: 1343
21: Dropped: 3666, Cleared: 1591
27: Dropped: 3854, Cleared: 1657
19: Dropped: 4857, Cleared: 2098
31: Dropped: 6058, Cleared: 2622
13: Dropped: 6841, Cleared: 2948
20: Dropped: 7965, Cleared: 3425
11: Dropped: 9748, Cleared: 4221
26: Dropped: 9644, Cleared: 4163
28: Dropped: 11580, Cleared: 5023
14: Dropped: 11882, Cleared: 5136
18: Dropped: 14296, Cleared: 6190
30: Dropped: 22114, Cleared: 9590
